Tweet,Label,cleaning,normalisasi,tokenisasi,stopword_removal
"islamofobis/buzzerp, yaitu: 1. para *njing sepilis dan komunis, pelaku maksiat yg ingin mencari pembenaran atas kelakuannya. 2. para b*bi kafir, pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya.",Anger,islamofobisbuzzerp yaitu para njing sepilis dan komunis pelaku maksiat yg ingin mencari pembenaran atas kelakuannya para bbi kafir pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya,islamofobisbuzzerp yaitu para njing sepilis dan komunis pelaku maksiat yang ingin mencari pembenaran atas kelakuannya para bbi kafir pecundang debat teologis secara akademis yang ingin melampiaskan dendam kekalahannya,"['islamofobisbuzzerp', 'yaitu', 'para', 'njing', 'sepilis', 'dan', 'komunis', 'pelaku', 'maksiat', 'yang', 'ingin', 'mencari', 'pembenaran', 'atas', 'kelakuannya', 'para', 'bbi', 'kafir', 'pecundang', 'debat', 'teologis', 'secara', 'akademis', 'yang', 'ingin', 'melampiaskan', 'dendam', 'kekalahannya']",islamofobisbuzzerp njing sepilis komunis pelaku maksiat mencari pembenaran kelakuannya bbi kafir pecundang debat teologis akademis melampiaskan dendam kekalahannya
iya juwi emosi nih gw pagi2,Anger,iya juwi emosi nih gw pagi,iya juwi emosi nih gue pagi,"['iya', 'juwi', 'emosi', 'nih', 'gue', 'pagi']",juwi emosi gue pagi
aku benci kata jenuh,Anger,aku benci kata jenuh,aku benci kata jenuh,"['aku', 'benci', 'kata', 'jenuh']",benci jenuh
gw benci sekolah,Anger,gw benci sekolah,gue benci sekolah,"['gue', 'benci', 'sekolah']",gue benci sekolah
bacoot kadrun emang bangsat,Anger,bacoot kadrun emang bangsat,bacoot kadrun memang bangsat,"['bacoot', 'kadrun', 'memang', 'bangsat']",bacoot kadrun bangsat
bangsat masih berani main sosmed,Anger,bangsat masih berani main sosmed,bangsat masih berani main sosmed,"['bangsat', 'masih', 'berani', 'main', 'sosmed']",bangsat berani main sosmed
ajarkan kepada anak lelaki; tolong opininya jangan kelewat tolol.,Anger,ajarkan kepada anak lelaki tolong opininya jangan kelewat tolol,ajarkan kepada anak lelaki tolong opininya jangan kelewat tolol,"['ajarkan', 'kepada', 'anak', 'lelaki', 'tolong', 'opininya', 'jangan', 'kelewat', 'tolol']",ajarkan anak lelaki tolong opininya kelewat tolol
km nyinyirn q sma antek2 nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha,Anger,km nyinyirn q sma antek nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha,kamu nyinyirn ku sama antek ya berharap ku marah tenang ku punya jurus jitu ku balas pakai solawatan dzolim kesel sendiri kan hahaha,"['kamu', 'nyinyirn', 'ku', 'sama', 'antek', 'ya', 'berharap', 'ku', 'marah', 'tenang', 'ku', 'punya', 'jurus', 'jitu', 'ku', 'balas', 'pakai', 'solawatan', 'dzolim', 'kesel', 'sendiri', 'kan', 'hahaha']",nyinyirn antek berharap marah tenang jurus jitu balas pakai solawatan dzolim kesel hahaha
gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.,Anger,gausah kaget kalau tiba gue jadi benci sama sodara gue dasar orang gatau diri benalu kacang lupa kulit bajingan sama sodara sendiri,kaget kalau tiba gue jadi benci sama sodara gue dasar orang diri benalu kacang lupa kulit bajingan sama sodara sendiri,"['kaget', 'kalau', 'tiba', 'gue', 'jadi', 'benci', 'sama', 'sodara', 'gue', 'dasar', 'orang', 'diri', 'benalu', 'kacang', 'lupa', 'kulit', 'bajingan', 'sama', 'sodara', 'sendiri']",kaget gue benci sodara gue dasar orang benalu kacang lupa kulit bajingan sodara
hahah bangsat,Anger,hahah bangsat,hahah bangsat,"['hahah', 'bangsat']",hahah bangsat
"ha tuh lu doang, tau definisi adek ga sih lu ilah bikin emosi.",Anger,ha tuh lu doang tau definisi adek ga sih lu ilah bikin emosi,ha tuh kamu doang tau definisi adek tidak sih kamu ilah bikin emosi,"['ha', 'tuh', 'kamu', 'doang', 'tau', 'definisi', 'adek', 'tidak', 'sih', 'kamu', 'ilah', 'bikin', 'emosi']",ha doang definisi adek ilah bikin emosi
"nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja",Anger,nnton sis masih on going emosi mulu yah sekarang nntonnya udahlah ikutin aja,menonton sis masih on going emosi mulu ya sekarang nntonnya sudahlah mengikuti saja,"['menonton', 'sis', 'masih', 'on', 'going', 'emosi', 'mulu', 'ya', 'sekarang', 'nntonnya', 'sudahlah', 'mengikuti', 'saja']",menonton sis on going emosi mulu nntonnya mengikuti
"kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.",Anger,kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam sebabnya krn ada org bodoh dan sesat spt itu sdh banyak dr zaman dl namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya,kenapa agama yang lurus dari tuhan yme bisa menjadi bengkok hingga bermacam sebabnya karena ada orang bodoh dan sesat seperti itu sudah banyak dari zaman dulu namun motifnya tetap sama yaitu untuk kepentingan perut dan sekitarnya,"['kenapa', 'agama', 'yang', 'lurus', 'dari', 'tuhan', 'yme', 'bisa', 'menjadi', 'bengkok', 'hingga', 'bermacam', 'sebabnya', 'karena', 'ada', 'orang', 'bodoh', 'dan', 'sesat', 'seperti', 'itu', 'sudah', 'banyak', 'dari', 'zaman', 'dulu', 'namun', 'motifnya', 'tetap', 'sama', 'yaitu', 'untuk', 'kepentingan', 'perut', 'dan', 'sekitarnya']",agama lurus tuhan yme bengkok orang bodoh sesat zaman motifnya kepentingan perut
"dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya",Anger,dpt mimpi kok mendukung keparnoan bangun bangsat bgt bete au ah mending ga usah tdr apa ya,dapat mimpi kok mendukung keparnoan bangun bangsat banget bete au ah mending tidak usah tidur apa ya,"['dapat', 'mimpi', 'kok', 'mendukung', 'keparnoan', 'bangun', 'bangsat', 'banget', 'bete', 'au', 'ah', 'mending', 'tidak', 'usah', 'tidur', 'apa', 'ya']",mimpi mendukung keparnoan bangun bangsat banget bete au ah mending tidur
haah .. belajar chargeman a1 sekali kerja amik former kat kilang jadi worker .. dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak .. semua kerja siap tapi bodoh nak memekak jugak .. baruah,Anger,haah belajar chargeman a sekali kerja amik former kat kilang jadi worker dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak semua kerja siap tapi bodoh nak memekak jugak baruah,haah belajar chargeman a sekali kerja amik former kat kilang jadi worker dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak semua kerja siap tapi bodoh nak memekak juga baruah,"['haah', 'belajar', 'chargeman', 'a', 'sekali', 'kerja', 'amik', 'former', 'kat', 'kilang', 'jadi', 'worker', 'dengan', 'orang', 'atas', 'yang', 'kejap', 'okay', 'kejap', 'tak', 'okay', 'nak', 'ikut', 'cakap', 'dia', 'macam', 'kerja', 'tak', 'pernah', 'siap', 'kimak', 'semua', 'kerja', 'siap', 'tapi', 'bodoh', 'nak', 'memekak', 'juga', 'baruah']",haah belajar chargeman a kerja amik former kat kilang worker orang kejap okay kejap okay nak cakap kerja kimak kerja bodoh nak memekak baruah
"woii bodok.. klo semua komplain, beropini,berargumen,berpendapat dkk mngenai kbijakan pemerintah. buat apa pileg dlakukn?? goblok di pelihara. lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta.. tolol. pendapatan aggota dewan itu 10x gaji umr tiap bulan",Anger,woii bodok klo semua komplain beropiniberargumenberpendapat dkk mngenai kbijakan pemerintah buat apa pileg dlakukn goblok di pelihara lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta tolol pendapatan aggota dewan itu x gaji umr tiap bulan,woii bodok kalau semua komplain beropiniberargumenberpendapat dkk mngenai kbijakan pemerintah buat apa pileg dlakukn goblok di pelihara kamu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta tolol pendapatan aggota dewan itu kali gaji umr tiap bulan,"['woii', 'bodok', 'kalau', 'semua', 'komplain', 'beropiniberargumenberpendapat', 'dkk', 'mngenai', 'kbijakan', 'pemerintah', 'buat', 'apa', 'pileg', 'dlakukn', 'goblok', 'di', 'pelihara', 'kamu', 'lakukan', 'itu', 'malah', 'buat', 'anggota', 'legislatif', 'terhormat', 'itu', 'makan', 'gaji', 'buta', 'tolol', 'pendapatan', 'aggota', 'dewan', 'itu', 'kali', 'gaji', 'umr', 'tiap', 'bulan']",woii bodok komplain beropiniberargumenberpendapat dkk mngenai kbijakan pemerintah pileg dlakukn goblok pelihara lakukan anggota legislatif terhormat makan gaji buta tolol pendapatan aggota dewan kali gaji umr
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang,Anger,terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku rasa kesalku belum juga hilang,terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku rasa kesalku belum juga hilang,"['terserah', 'dan', 'masa', 'bodoh', 'jika', 'kamu', 'tidak', 'suka', 'atau', 'bahkan', 'membenciku', 'rasa', 'kesalku', 'belum', 'juga', 'hilang']",terserah bodoh suka membenciku kesalku hilang
jangan sampai rakyatÂ benci,Anger,jangan sampai rakyatâ benci,jangan sampai rakyatâ benci,"['jangan', 'sampai', 'rakyatâ', 'benci']",rakyatâ benci
"gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™, ga usah nyuruh2 org buat ngaku deh, lo doang yg mikir bgtu bego! ga jelas lo",Anger,gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™ ga usah nyuruh org buat ngaku deh lo doang yg mikir bgtu bego ga jelas lo,gue kira di menfess sebelumnya kamu mau ngejokes ternyata bego benaran wkwk lo tidak tau definisi ˜adik ™ atau bagaimana semua orang nyebut saudara kandang yang lebih mudanya ya ˜adik ™ tidak usah nyuruh orang buat mengaku deh lo doang yang mikir begitu bego tidak jelas lo,"['gue', 'kira', 'di', 'menfess', 'sebelumnya', 'kamu', 'mau', 'ngejokes', 'ternyata', 'bego', 'benaran', 'wkwk', 'lo', 'tidak', 'tau', 'definisi', '˜adik', '™', 'atau', 'bagaimana', 'semua', 'orang', 'nyebut', 'saudara', 'kandang', 'yang', 'lebih', 'mudanya', 'ya', '˜adik', '™', 'tidak', 'usah', 'nyuruh', 'orang', 'buat', 'mengaku', 'deh', 'lo', 'doang', 'yang', 'mikir', 'begitu', 'bego', 'tidak', 'jelas', 'lo']",gue menfess ngejokes bego benaran definisi ˜adik ™ orang nyebut saudara kandang mudanya ˜adik ™ nyuruh orang mengaku doang mikir bego
marah btol bang,Anger,marah btol bang,marah btol abang,"['marah', 'btol', 'abang']",marah btol abang
"auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia, itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban.",Anger,auto belit apa mmg ah dia org marah bila kena kencing oleh gov india indira gandhi gunakan perkara ini sbg peluang untuk politikus dia itu yg menyebabkan ltte bunuh indira gandhi ko pergi baca sejarah kenapa ltte tu diwujudkan tak sama langsung mcm taliban,auto belit apa memang ah dia orang marah bila kena kencing oleh gov india indira gandhi gunakan perkara ini sebagai peluang untuk politikus dia itu yang menyebabkan ltte bunuh indira gandhi kok pergi baca sejarah kenapa ltte itu diwujudkan tak sama langsung macam taliban,"['auto', 'belit', 'apa', 'memang', 'ah', 'dia', 'orang', 'marah', 'bila', 'kena', 'kencing', 'oleh', 'gov', 'india', 'indira', 'gandhi', 'gunakan', 'perkara', 'ini', 'sebagai', 'peluang', 'untuk', 'politikus', 'dia', 'itu', 'yang', 'menyebabkan', 'ltte', 'bunuh', 'indira', 'gandhi', 'kok', 'pergi', 'baca', 'sejarah', 'kenapa', 'ltte', 'itu', 'diwujudkan', 'tak', 'sama', 'langsung', 'macam', 'taliban']",auto belit ah orang marah kena kencing gov india indira gandhi perkara peluang politikus menyebabkan ltte bunuh indira gandhi pergi baca sejarah ltte diwujudkan langsung taliban
cok pagi pagi dibuat emosi,Anger,cok pagi pagi dibuat emosi,cok pagi pagi dibuat emosi,"['cok', 'pagi', 'pagi', 'dibuat', 'emosi']",cok pagi pagi emosi
bersabar dengan emosi yang ada di dalam diri ini.,Anger,bersabar dengan emosi yang ada di dalam diri ini,bersabar dengan emosi yang ada di dalam diri ini,"['bersabar', 'dengan', 'emosi', 'yang', 'ada', 'di', 'dalam', 'diri', 'ini']",bersabar emosi
"benci tasik, benci jakarta",Anger,benci tasik benci jakarta,benci tasik benci jakarta,"['benci', 'tasik', 'benci', 'jakarta']",benci tasik benci jakarta
sepertinya opung msh dendam bu,Anger,sepertinya opung msh dendam bu,sepertinya opung masih dendam bu,"['sepertinya', 'opung', 'masih', 'dendam', 'bu']",opung dendam bu
aduh bangsat ganteng banget lagi ni orang,Anger,aduh bangsat ganteng banget lagi ni orang,aduh bangsat ganteng banget lagi nih orang,"['aduh', 'bangsat', 'ganteng', 'banget', 'lagi', 'nih', 'orang']",aduh bangsat ganteng banget orang
paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :),Anger,paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa,paling benci kalau lagi diam terus panik sendiri bingung kenapa,"['paling', 'benci', 'kalau', 'lagi', 'diam', 'terus', 'panik', 'sendiri', 'bingung', 'kenapa']",benci diam panik bingung
kalau cerita kat laki aku pasal mimpi malam td mesti kena marah,Anger,kalau cerita kat laki aku pasal mimpi malam td mesti kena marah,kalau cerita kat laki aku pasal mimpi malam tadi mesti kena marah,"['kalau', 'cerita', 'kat', 'laki', 'aku', 'pasal', 'mimpi', 'malam', 'tadi', 'mesti', 'kena', 'marah']",cerita kat laki pasal mimpi malam mesti kena marah
bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo,Anger,bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo,bangsat ntarnta pasti menangis haha pengecut nada tolol mati saja lo,"['bangsat', 'ntarnta', 'pasti', 'menangis', 'haha', 'pengecut', 'nada', 'tolol', 'mati', 'saja', 'lo']",bangsat ntarnta menangis haha pengecut nada tolol mati
bodoh punya statement ..baik gi minum arak ..melacur ..main judi ..baru betul thrill,Anger,bodoh punya statement baik gi minum arak melacur main judi baru betul thrill,bodoh punya statement baik gi minum arak melacur main judi baru betul thrill,"['bodoh', 'punya', 'statement', 'baik', 'gi', 'minum', 'arak', 'melacur', 'main', 'judi', 'baru', 'betul', 'thrill']",bodoh statement gi minum arak melacur main judi thrill
((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang,Anger,ngaku aja lah bego ngajak gak nder yg nganggep adek cuma anak kecil lu doang,mengaku saja lah bego mengajak tidak nder yang nganggep adek cuma anak kecil kamu doang,"['mengaku', 'saja', 'lah', 'bego', 'mengajak', 'tidak', 'nder', 'yang', 'nganggep', 'adek', 'cuma', 'anak', 'kecil', 'kamu', 'doang']",mengaku bego mengajak nder nganggep adek anak doang
gajadi soft malah emosi.,Anger,gajadi soft malah emosi,gajadi soft malah emosi,"['gajadi', 'soft', 'malah', 'emosi']",gajadi soft emosi
elu jangan bikin gue marah,Anger,elu jangan bikin gue marah,lu jangan bikin gue marah,"['lu', 'jangan', 'bikin', 'gue', 'marah']",lu bikin gue marah
jarina hasebe hobi ngomel dan marah marah.,Anger,jarina hasebe hobi ngomel dan marah marah,jarina hasebe hobi ngomel dan marah marah,"['jarina', 'hasebe', 'hobi', 'ngomel', 'dan', 'marah', 'marah']",jarina hasebe hobi ngomel marah marah
capee lagi puasa ada aja yg dibikin marah nya tu,Anger,capee lagi puasa ada aja yg dibikin marah nya tu,cape lagi puasa ada saja yang dibikin marah ya itu,"['cape', 'lagi', 'puasa', 'ada', 'saja', 'yang', 'dibikin', 'marah', 'ya', 'itu']",cape puasa dibikin marah
anjinglah brengsek bangsat,Anger,anjinglah brengsek bangsat,anjinglah brengsek bangsat,"['anjinglah', 'brengsek', 'bangsat']",anjinglah brengsek bangsat
emosi yaa........,Anger,emosi yaa,emosi ya,"['emosi', 'ya']",emosi
tahulah nak luah kat siapa. terasa bodoh gila,Anger,tahulah nak luah kat siapa terasa bodoh gila,tahulah nak luah kat siapa terasa bodoh gila,"['tahulah', 'nak', 'luah', 'kat', 'siapa', 'terasa', 'bodoh', 'gila']",tahulah nak luah kat bodoh gila
"benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk.",Anger,benci juga karakternya cheol kek itu uda keliatan han sakit hati knp harus ditegesin dlu baru peka ga mempermasalahkan his feeling towards nu tp the way he treated han that i hate the most dipermainin bgt haha jerk,benci juga karakternya cheol kayak itu sudah kelihatan han sakit hati kenapa harus ditegesin dulu baru peka tidak mempermasalahkan his feeling towards nu tapi the way he treated han that i hate the most dipermainkan banget haha jerk,"['benci', 'juga', 'karakternya', 'cheol', 'kayak', 'itu', 'sudah', 'kelihatan', 'han', 'sakit', 'hati', 'kenapa', 'harus', 'ditegesin', 'dulu', 'baru', 'peka', 'tidak', 'mempermasalahkan', 'his', 'feeling', 'towards', 'nu', 'tapi', 'the', 'way', 'he', 'treated', 'han', 'that', 'i', 'hate', 'the', 'most', 'dipermainkan', 'banget', 'haha', 'jerk']",benci karakternya cheol kayak han sakit hati ditegesin peka mempermasalahkan his feeling towards nu the way he treated han that hate the most dipermainkan banget haha jerk
"poin 1-2 okelah, poin selanjutnya itu lho, gw cowok aja marah bacanya",Anger,poin okelah poin selanjutnya itu lho gw cowok aja marah bacanya,poin okelah poin selanjutnya itu lho gue cowok saja marah bacanya,"['poin', 'okelah', 'poin', 'selanjutnya', 'itu', 'lho', 'gue', 'cowok', 'saja', 'marah', 'bacanya']",poin okelah poin lho gue cowok marah bacanya
nape lo yg emosi?,Anger,nape lo yg emosi,nape lo yang emosi,"['nape', 'lo', 'yang', 'emosi']",nape emosi
ya kalo mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan lu nikah ma nene2 yang udh tua dan miskin buat diurus bukan mau enak nya doang tolol,Anger,ya kalo mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan lu nikah ma nene yang udh tua dan miskin buat diurus bukan mau enak nya doang tolol,ya kalau mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan kamu nikah sama nene yang sudah tua dan miskin buat diurus bukan mau enak ya doang tolol,"['ya', 'kalau', 'mau', 'poligami', 'ikuti', 'sunah', 'rosul', 'tunggu', 'istri', 'pertama', 'meninggal', 'dulu', 'dan', 'kamu', 'nikah', 'sama', 'nene', 'yang', 'sudah', 'tua', 'dan', 'miskin', 'buat', 'diurus', 'bukan', 'mau', 'enak', 'ya', 'doang', 'tolol']",poligami ikuti sunah rosul tunggu istri meninggal nikah nene tua miskin diurus enak doang tolol
